,album_name,liked_songs,liked_popularity
0,Jinx,Ghostride,72.0
1,MUSIC,"OVERLY, HBA, WALK, OPM BABI, OLYMPIAN, COCAINE NOSE, WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign), WAKE UP F1LTHY (with Travis Scott), GOOD CREDIT (with Kendrick Lamar), CHARGE DEM HOES A FEE (with Future & Travis Scott), CRANK, RATHER LIE (with The Weeknd), RADAR, MOJO JOJO, EVIL J0RDAN, CRUSH (with Travis Scott)",83.81
2,AT.LONG.LAST.A$AP,"M'$ (feat. Lil Wayne), Better Things, Wavybone (feat. Juicy J & UGK), Pharsyde (feat. Joe Fox), Max B (feat. Joe Fox), Electric Body (feat. ScHoolboy Q), Holy Ghost (feat. Joe Fox), Lord Pretty Flacko Jodye 2 (LPFJ2), Canal St. (feat. Bones), L$D, Excuse Me, Fine Whine (feat. Joe Fox, Future & M.I.A.), Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",63.08
3,Sensational,"1 Thot 2 Thot Red Thot Blue Thot, Whip A Tesla, The Boys Are Back In Town",50.67
4,Yasuke,"Between Memories, The Eyes of Vengeance, Your Head // We Won, Your Armour, Kurosaka Strikes!, African Samurai, Black Gold",33.14
5,Arbi Ghode,Arbi Ghode,57.0
6,"Mancini Plays the Theme from ""Love Story""","Theme from ""Love Story""",34.0
7,Make Way for Dionne Warwick,Walk on By,67.0
8,Evr’y Time We Say Goodbye - All-Time Romantic Duets,Georgia on My Mind,56.0
9,The Genesis of Aretha: 1960-1966,One Step Ahead,47.0
10,(When You Gonna) Give It up to Me (feat. Keyshia Cole),(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,69.0
11,DZs Control,"CamJones Mr LUCKY 2000 2000, Bla Ka Ka Ka",32.0
12,Raadhe Shyam,Raadhe Shyam,34.0
13,Vazan (Red Bull 64 Bars),Vazan - Red Bull 64 Bars,62.0
14,Rather You Than Me,"I Think She Like Me (feat. Ty Dolla $ign), Dead Presidents (feat. Future, Jeezy & Yo Gotti), Summer Seventeen (feat. Yo Gotti), Santorini Greece",40.5
