track_name,track_id,album_name,album_id,popularity,artist_names,artist_ids
Ghostride,0R3TWpoxAhT3HDXM7tpRzS,Jinx,6DxidEI7EhF8md8ev83iNY,72,Crumb,4kSGbjWGxTchKpIxXPJv0B
OVERLY,5tRylsadMpm8TydUgq7NWj,MUSIC,0fSfkmx0tdPqFYkJuNX74a,79,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
HBA,6q2PbvM9UEig4r8xku7VIb,MUSIC,0fSfkmx0tdPqFYkJuNX74a,84,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
WALK,5Qya13gFXqupr4sSmZMKDg,MUSIC,0fSfkmx0tdPqFYkJuNX74a,78,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
OPM BABI,76yJsfb1CUy5Um8nFL7jKQ,MUSIC,0fSfkmx0tdPqFYkJuNX74a,81,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
OLYMPIAN,4uoADk7q83CHvXHW3k1etM,MUSIC,0fSfkmx0tdPqFYkJuNX74a,82,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
COCAINE NOSE,4rXxjHSAglOynjIF8Z34dx,MUSIC,0fSfkmx0tdPqFYkJuNX74a,82,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign),4XcZp2xqbiD8YsnPboNUDo,MUSIC,0fSfkmx0tdPqFYkJuNX74a,82,"Playboi Carti, Young Thug, Ty Dolla $ign","699OTQXzgjhIYAHMy9RyPD, 50co4Is1HCEo8bhOyUWKpn, 7c0XG5cIJTrrAgEC3ULPiq"
WAKE UP F1LTHY (with Travis Scott),1pzN8bCzy017iK3vWzkk6Z,MUSIC,0fSfkmx0tdPqFYkJuNX74a,84,"Playboi Carti, Travis Scott","699OTQXzgjhIYAHMy9RyPD, 0Y5tJX1MQlPlqiwlOH1tJY"
GOOD CREDIT (with Kendrick Lamar),2n9fC0A4ptmWqYeMXEVaok,MUSIC,0fSfkmx0tdPqFYkJuNX74a,86,"Playboi Carti, Kendrick Lamar","699OTQXzgjhIYAHMy9RyPD, 2YZyLoL8N0Wb9xBt1NhZWg"
CHARGE DEM HOES A FEE (with Future & Travis Scott),21aDVa64pWR8SYQ7wBRMkd,MUSIC,0fSfkmx0tdPqFYkJuNX74a,83,"Playboi Carti, Future, Travis Scott","699OTQXzgjhIYAHMy9RyPD, 1RyvyyTE3xzB2ZywiAwp0i, 0Y5tJX1MQlPlqiwlOH1tJY"
CRANK,7xAvtuHf8nGi5OtXVPYgb3,MUSIC,0fSfkmx0tdPqFYkJuNX74a,82,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
RATHER LIE (with The Weeknd),68qeaZhtMZ6abrJCYt6nQn,MUSIC,0fSfkmx0tdPqFYkJuNX74a,90,"Playboi Carti, The Weeknd","699OTQXzgjhIYAHMy9RyPD, 1Xyo4u8uXC1ZmMpatF05PJ"
RADAR,3lAEHk0eZzMKtCUFLXz8Ln,MUSIC,0fSfkmx0tdPqFYkJuNX74a,84,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
MOJO JOJO,3WRUvGqySBZC6RkB5c2w1S,MUSIC,0fSfkmx0tdPqFYkJuNX74a,85,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
EVIL J0RDAN,6iycYUk3oB0NPMdaDUrN1w,MUSIC,0fSfkmx0tdPqFYkJuNX74a,92,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
CRUSH (with Travis Scott),3VdooJLOy4tLxKpnn46SMP,MUSIC,0fSfkmx0tdPqFYkJuNX74a,87,"Playboi Carti, Travis Scott","699OTQXzgjhIYAHMy9RyPD, 0Y5tJX1MQlPlqiwlOH1tJY"
M'$ (feat. Lil Wayne),29ZSk6XmWPx3DX69xBb7Yi,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,57,"A$AP Rocky, Lil Wayne","13ubrt8QOOCPljQ2FL1Kca, 55Aa2cqylxrFIXC767Z865"
Better Things,3nHbQNMuGuEtIVhPGVfFbF,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,54,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
Wavybone (feat. Juicy J & UGK),5cYZm4KeDKM8Pw8z5XRKJt,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,57,"A$AP Rocky, Juicy J, UGK","13ubrt8QOOCPljQ2FL1Kca, 5gCRApTajqwbnHHPbr2Fpi, 6ZhjJOJXXwnPS8PrXdmjLw"
Pharsyde (feat. Joe Fox),6J9FgTr3z44Bw6ABeVL415,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,61,"A$AP Rocky, Joe Fox","13ubrt8QOOCPljQ2FL1Kca, 2Dbnk0YRTPpKu46XzMf9nu"
Max B (feat. Joe Fox),4wuOxtRDeD9YiQOcmgay7e,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,52,"A$AP Rocky, Joe Fox","13ubrt8QOOCPljQ2FL1Kca, 2Dbnk0YRTPpKu46XzMf9nu"
Electric Body (feat. ScHoolboy Q),6br4Pc0BzU6dTD5fEmks2i,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,59,"A$AP Rocky, ScHoolboy Q","13ubrt8QOOCPljQ2FL1Kca, 5IcR3N7QB1j6KBL8eImZ8m"
Holy Ghost (feat. Joe Fox),6AHNkRbVzkh95xilnYzDT7,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,61,"A$AP Rocky, Joe Fox","13ubrt8QOOCPljQ2FL1Kca, 2Dbnk0YRTPpKu46XzMf9nu"
1 Thot 2 Thot Red Thot Blue Thot,7GTGh3P9WThFACswHvn3gA,Sensational,6xd9phTkcEIsi1JWhbxZM3,36,Yung Gravy,2YOYua8FpudSEiB9s88IgQ
Between Memories,4bvKIDFJEIif2HM3U8eQhc,Yasuke,0tOVrY13drf4AGBWtSIkgX,36,"Flying Lotus, Niki Randa","29XOeO6KIWxGthejQqn793, 47zSdHUfF93kgKjOVGKxU3"
The Eyes of Vengeance,5RIRElEnxY29cNEK1C1VGt,Yasuke,0tOVrY13drf4AGBWtSIkgX,28,Flying Lotus,29XOeO6KIWxGthejQqn793
Your Head // We Won,77Up4Y3FY4UWXosGCHoZQe,Yasuke,0tOVrY13drf4AGBWtSIkgX,28,Flying Lotus,29XOeO6KIWxGthejQqn793
Your Armour,5IvDknPGcxez0U6SkzZJGY,Yasuke,0tOVrY13drf4AGBWtSIkgX,28,Flying Lotus,29XOeO6KIWxGthejQqn793
Kurosaka Strikes!,2GwYWInU7sI8oQQksFdXEi,Yasuke,0tOVrY13drf4AGBWtSIkgX,30,Flying Lotus,29XOeO6KIWxGthejQqn793
African Samurai,7qU4qyFLnfcPDr4pTRNE1X,Yasuke,0tOVrY13drf4AGBWtSIkgX,37,"Flying Lotus, Denzel Curry","29XOeO6KIWxGthejQqn793, 6fxyWrfmjcbj5d12gXeiNV"
Black Gold,1TVEhev5VxW1tdP1TVEvdT,Yasuke,0tOVrY13drf4AGBWtSIkgX,45,"Flying Lotus, Thundercat","29XOeO6KIWxGthejQqn793, 4frXpPxQQZwbCu3eTGnZEw"
Arbi Ghode,0T0njXl9l2zHpDzkaA5cX5,Arbi Ghode,6VYRS7q4tc72J4CLMw5HRC,57,"Masoom Sharma, Jaivir Rathee","36iDrP3UnCxsSH9LuSdkDj, 11RL0P8BYXqoAChg4JkUZZ"
"Theme from ""Love Story""",0zH63dNKyJBCxWROIVODnU,"Mancini Plays the Theme from ""Love Story""",47hCW3leEMJW4ldcIC5qDE,34,Henry Mancini,2EExdpjU4SK3xnJHO5paJf
Walk on By,3xsOtNxtBW0oTI1OWKAzTm,Make Way for Dionne Warwick,6edKvdyBPyTPPWCOcTdrhr,67,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp
Georgia on My Mind,1AGU94UmRrDst2T9C5pEvI,Evr’y Time We Say Goodbye - All-Time Romantic Duets,5ii2nKKm0UxPSj7lRYXmkG,56,Ray Charles,1eYhYunlNJlDoQhtYBvPsi
One Step Ahead,1L2v0m8OZthSoBHGpOwpV2,The Genesis of Aretha: 1960-1966,46rXeT9V36y4MaVgPWXlKf,47,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok
